model,katman,katman_ad,n_noron,pencere,seyreklik,k,birlesim,rastgele,bagimsizlik,ardisik_jaccard
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.3,8,0.9023498566961959,0.94235199,0.9377255244374598,0.2135860981704922
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.3592286630921295
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.5,2,0.7358073050777629,0.75,0.9432292203110517,0.3592286630921295
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.5,3,0.85546875,0.875,0.9479166666666666,0.3592286630921295
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.5,4,0.9189680326491573,0.9375,0.957641217483788,0.3592286630921295
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.5,6,0.9726432737724489,0.984375,0.9757796619818299,0.3592286630921295
Qwen2.5-0.5B,0,model.layers.0.mlp.down_proj,4864,0,0.5,8,0.9904210363470557,0.99609375,0.9885652386208367,0.3592286630921295
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.09049195925642214
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.1,2,0.18330085165825524,0.18999999999999995,0.9255650184250588,0.09049195925642214
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.1,3,0.25692724458204336,0.2709999999999999,0.9177031846903125,0.09049195925642214
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.1,4,0.3217758795626099,0.3439,0.9092901991086917,0.09049195925642214
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.1,6,0.4310751453337486,0.46855899999999995,0.8982961895754781,0.09049195925642214
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.1,8,0.519463669228765,0.5695327899999999,0.8933639527683787,0.09049195925642214
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.14243212318282952
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.2,2,0.34993627047069725,0.3599999999999999,0.9371016904418585,0.14243212318282952
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.2,3,0.46850570820433435,0.4879999999999999,0.9323114868206057,0.14243212318282952
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.2,4,0.562959249948299,0.5903999999999999,0.9297111935151104,0.14243212318282952
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.2,6,0.6991344045209177,0.7378559999999998,0.9280075048357139,0.14243212318282952
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.2,8,0.7894199452840021,0.8322278399999999,0.9322903991130828,0.14243212318282952
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.20376041529581318
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.3,2,0.4984409600628283,0.51,0.9449569526801347,0.20376041529581318
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.3,3,0.6362587880546956,0.657,0.9419013670999876,0.20376041529581318
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.3,4,0.7337602432530245,0.7599,0.9431620857860936,0.20376041529581318
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.3,6,0.8527607735129242,0.882351,0.9491883305994567,0.20376041529581318
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.3,8,0.9161693101875976,0.94235199,0.9592393575173598,0.20376041529581318
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.3555260801570424
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.5,2,0.7377618382428676,0.75,0.9510473529714703,0.3555260801570424
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.5,3,0.8593238035345717,0.875,0.9581968094255245,0.3555260801570424
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.5,4,0.9227890568452073,0.9375,0.9663749870747596,0.3555260801570424
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.5,6,0.9752790699937713,0.984375,0.9812213057935925,0.3555260801570424
Qwen2.5-0.5B,1,model.layers.1.mlp.down_proj,4864,0,0.5,8,0.9914901152944242,0.99609375,0.9907202324045087,0.3555260801570424
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.0869485441789957
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.1,2,0.18390475332166029,0.18999999999999995,0.932275036907337,0.0869485441789957
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.1,3,0.2579765705624355,0.2709999999999999,0.9238395939323718,0.0869485441789957
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.1,4,0.32312777892668804,0.3439,0.9148330419298403,0.0869485441789957
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.1,6,0.4332482579414512,0.46855899999999995,0.9041924303610852,0.0869485441789957
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.1,8,0.5228903400208442,0.5695327899999999,0.9006619964089075,0.0869485441789957
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.13931503843368184
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.2,2,0.35088135042228863,0.3599999999999999,0.9430084401393046,0.13931503843368184
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.2,3,0.4705213170794633,0.4879999999999999,0.9393101287481369,0.13931503843368184
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.2,4,0.5650434449643262,0.5903999999999999,0.935049807797967,0.13931503843368184
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.2,6,0.7014389014325755,0.7378559999999998,0.9322921031513558,0.13931503843368184
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.2,8,0.792143938900469,0.8322278399999999,0.9365989623305249,0.13931503843368184
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.20045023248573232
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.3,2,0.49981211054176533,0.51,0.9514862406750729,0.20045023248573232
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.3,3,0.6390185597265221,0.657,0.9496318199622468,0.20045023248573232
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.3,4,0.7368045412832179,0.7599,0.9497815639991692,0.20045023248573232
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.3,6,0.8563024726201598,0.882351,0.9552700564095532,0.20045023248573232
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.3,8,0.9198402488275144,0.94235199,0.9649541971957061,0.20045023248573232
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.3525787797678318
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.5,2,0.7393747907868986,0.75,0.9574991631475944,0.3525787797678318
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.5,3,0.8605267189112488,0.875,0.96140458376333,0.3525787797678318
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.5,4,0.9240181664253955,0.9375,0.9691843804009039,0.3525787797678318
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.5,6,0.9764509855444824,0.984375,0.9836407443498991,0.3525787797678318
Qwen2.5-0.5B,2,model.layers.2.mlp.down_proj,4864,0,0.5,8,0.9923462741010942,0.99609375,0.9924460328337017,0.3525787797678318
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.09801882670884392
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.1,2,0.18206086170048408,0.18999999999999995,0.9117873522276014,0.09801882670884392
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.1,3,0.2538002289731682,0.2709999999999999,0.8994165437027384,0.09801882670884392
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.1,4,0.3172346771274946,0.3439,0.8906710829335572,0.09801882670884392
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.1,6,0.42444226551956815,0.46855899999999995,0.8802993971645466,0.09801882670884392
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.1,8,0.5119646463001564,0.5695327899999999,0.8773927083988244,0.09801882670884392
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.14908715554104432
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.2,2,0.3478952357348851,0.3599999999999999,0.9243452233430327,0.14908715554104432
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.2,3,0.46479013480392156,0.4879999999999999,0.9194101902913947,0.14908715554104432
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.2,4,0.5582657720246097,0.5903999999999999,0.9176889652269717,0.14908715554104432
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.2,6,0.6945067573704973,0.7378559999999998,0.919403627310093,0.14908715554104432
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.2,8,0.785979432647212,0.8322278399999999,0.9268485118390424,0.14908715554104432
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.207303561037117
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.3,2,0.49697445668966933,0.51,0.9379736032841396,0.207303561037117
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.3,3,0.6343564563983488,0.657,0.9365727069981759,0.207303561037117
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.3,4,0.7317208826646675,0.7599,0.9387277292121493,0.207303561037117
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.3,6,0.8521208832918095,0.882351,0.94808952554698,0.207303561037117
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.3,8,0.9160463620375195,0.94235199,0.9590479544361955,0.207303561037117
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.35733880598090234
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.5,2,0.73677853666701,0.75,0.94711414666804,0.35733880598090234
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.5,3,0.8580563886738906,0.875,0.9548170364637082,0.35733880598090234
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.5,4,0.9219222579102471,0.9375,0.964393732366279,0.35733880598090234
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.5,6,0.9748853225890168,0.984375,0.9804084079257122,0.35733880598090234
Qwen2.5-0.5B,3,model.layers.3.mlp.down_proj,4864,0,0.5,8,0.9914196847316311,0.99609375,0.9905782621362013,0.35733880598090234
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.12176113915838417
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.1,2,0.17831675185394996,0.18999999999999995,0.8701861317105556,0.12176113915838417
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.1,3,0.24625217685758513,0.2709999999999999,0.8552758880560538,0.12176113915838417
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.1,4,0.3057437344897115,0.3439,0.843557746985287,0.12176113915838417
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.1,6,0.40543371418561197,0.46855899999999995,0.8287240691059287,0.12176113915838417
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.1,8,0.48718652292860865,0.5695327899999999,0.8246208383627663,0.12176113915838417
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.1679933172164024
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.2,2,0.3424573044340303,0.3599999999999999,0.8903581527126899,0.1679933172164024
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.2,3,0.4549624290505676,0.4879999999999999,0.8852862119811379,0.1679933172164024
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.2,4,0.5445751150346396,0.5903999999999999,0.8826206840026631,0.1679933172164024
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.2,6,0.6762885393958269,0.7378559999999998,0.8855317025297236,0.1679933172164024
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.2,8,0.7660060578426264,0.8322278399999999,0.8952564598272461,0.1679933172164024
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.2271370188684436
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.3,2,0.48915753102791226,0.51,0.9007501477519632,0.2271370188684436
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.3,3,0.6214698626160992,0.657,0.9004758056473365,0.2271370188684436
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.3,4,0.7158050647554545,0.7599,0.9041206017731125,0.2271370188684436
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.3,6,0.8341171785788436,0.882351,0.9171739699577122,0.2271370188684436
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.3,8,0.9001840151120375,0.94235199,0.9343537880407864,0.2271370188684436
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.3705324451927424
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.5,2,0.7298290407096508,0.75,0.9193161628386033,0.3705324451927424
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.5,3,0.8489716363519092,0.875,0.9305910302717578,0.3705324451927424
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.5,4,0.9130624095233171,0.9375,0.9441426503390105,0.3705324451927424
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.5,6,0.9685565731080661,0.984375,0.9673426025456848,0.3705324451927424
Qwen2.5-0.5B,4,model.layers.4.mlp.down_proj,4864,0,0.5,8,0.9874515535435123,0.99609375,0.9825795095050327,0.3705324451927424
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.1347038718218242
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.1,2,0.1763879679936142,0.18999999999999995,0.8487551999290471,0.1347038718218242
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.1,3,0.24124459816821467,0.2709999999999999,0.8259918021533026,0.1347038718218242
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.1,4,0.29751601114155724,0.3439,0.8098237439178239,0.1347038718218242
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.1,6,0.39104510536696774,0.46855899999999995,0.7896838914989669,0.1347038718218242
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.1,8,0.4667738731109954,0.5695327899999999,0.7811464522232738,0.1347038718218242
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.18628442577760906
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.2,2,0.33737785173550316,0.3599999999999999,0.8586115733468954,0.18628442577760906
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.2,3,0.4433980746904025,0.4879999999999999,0.8451322037861201,0.18628442577760906
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.2,4,0.5274907746096578,0.5903999999999999,0.8388595661108038,0.18628442577760906
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.2,6,0.6504046149953285,0.7378559999999998,0.837407438041648,0.18628442577760906
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.2,8,0.7357758761073475,0.8322278399999999,0.847441131518896,0.18628442577760906
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.24515411639669965
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.3,2,0.48230861829230615,0.51,0.8681362775824102,0.24515411639669965
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.3,3,0.6083647768317854,0.657,0.8637668818817517,0.24515411639669965
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.3,4,0.6988172597197808,0.7599,0.8671825608170924,0.24515411639669965
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.3,6,0.8133418327623794,0.882351,0.8814990147907006,0.24515411639669965
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.3,8,0.8786265633142262,0.94235199,0.9007936027632235,0.24515411639669965
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.3816176743281177
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.5,2,0.7240817154186837,0.75,0.8963268616747349,0.3816176743281177
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.5,3,0.84015576625387,0.875,0.9070820433436534,0.3816176743281177
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.5,4,0.9036391014372868,0.9375,0.9226036604280841,0.3816176743281177
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.5,6,0.9603783056939686,0.984375,0.9504584375617418,0.3816176743281177
Qwen2.5-0.5B,5,model.layers.5.mlp.down_proj,4864,0,0.5,8,0.9815162519541427,0.99609375,0.9706154370099255,0.3816176743281177
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.1504319293217147
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.1,2,0.17398402899371718,0.18999999999999995,0.822044766596858,0.1504319293217147
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.1,3,0.2363200625644995,0.2709999999999999,0.7971933483304069,0.1504319293217147
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.1,4,0.2902148659652569,0.3439,0.7798887493450468,0.1504319293217147
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.1,6,0.3795708761548843,0.46855899999999995,0.7585512120308671,0.1504319293217147
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.1,8,0.45221673071912455,0.5695327899999999,0.750142989415339,0.1504319293217147
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.19724538386022944
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.2,2,0.334301212148522,0.3599999999999999,0.839382575928263,0.19724538386022944
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.2,3,0.437233939628483,0.4879999999999999,0.8237289570433441,0.19724538386022944
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.2,4,0.5187714882121808,0.5903999999999999,0.8165253284123485,0.19724538386022944
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.2,6,0.6386582905117825,0.7378559999999998,0.8155682757313901,0.19724538386022944
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.2,8,0.7220480230588847,0.8322278399999999,0.8257276728890723,0.19724538386022944
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.2512476326765316
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.3,2,0.479934049593161,0.51,0.856828807586481,0.2512476326765316
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.3,3,0.6034293569401445,0.657,0.8499421763029258,0.2512476326765316
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.3,4,0.6917592706286837,0.7599,0.8518357700123586,0.2512476326765316
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.3,6,0.8049977129398942,0.882351,0.8671706804657228,0.2512476326765316
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.3,8,0.8712508956487754,0.94235199,0.8893113192484627,0.2512476326765316
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.5,1,0.5,0.5,0.0,0.38682669915923823
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.5,2,0.7213788430837368,0.75,0.8855153723349471,0.38682669915923823
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.5,3,0.8362938596491227,0.875,0.8967836257309939,0.38682669915923823
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.5,4,0.8997118479216213,0.9375,0.9136270809637058,0.38682669915923823
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.5,6,0.9582810229160178,0.984375,0.9461285634395206,0.38682669915923823
Qwen2.5-0.5B,6,model.layers.6.mlp.down_proj,4864,0,0.5,8,0.9811107673267326,0.99609375,0.9697980821704217,0.38682669915923823
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.1,1,0.0999177631578947,0.09999999999999998,-82236.84210530158,0.17206394231189104
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.1,2,0.1708140481769492,0.18999999999999995,0.7868227575216582,0.17206394231189104
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.1,3,0.22928961880804952,0.2709999999999999,0.7560796421523368,0.17206394231189104
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.1,4,0.2795632561265639,0.3439,0.7362167122860349,0.17206394231189104
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.1,6,0.36356672700612475,0.46855899999999995,0.7151276376540112,0.17206394231189104
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.1,8,0.4325283350703491,0.5695327899999999,0.7082111029356419,0.17206394231189104
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.2,1,0.1998355263157894,0.19999999999999996,-164473.68421060315,0.21172956341758695
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.2,2,0.3303169095684416,0.3599999999999999,0.8144806848027607,0.21172956341758695
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.2,3,0.4293980585655314,0.4879999999999999,0.7965210366858734,0.21172956341758695
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.2,4,0.5079207488884293,0.5903999999999999,0.7887314264560178,0.21172956341758695
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.2,6,0.6248511788902731,0.7378559999999998,0.7898976285293334,0.21172956341758695
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.2,8,0.7070080445544554,0.8322278399999999,0.8019388145806035,0.21172956341758695
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.3,1,0.29995888157894735,0.30000000000000004,-41118.42105264385,0.2645164108623334
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.3,2,0.47493104014316617,0.51,0.8330049530626961,0.2645164108623334
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.3,3,0.5946013931888546,0.657,0.8252139865234023,0.2645164108623334
Qwen2.5-0.5B,7,model.layers.7.mlp.down_proj,4864,0,0.3,4,0.6808875277892669,0.7599,0.8281964074565489,0.2645164108623334
